materiality_event_id,sample_key,stable_sample_key,severity_stratum,nct_id,from_version,to_version,submitted_date,category,evidence_record_id,sample_order_hash,stratum_rank
502,critical-001,"NCT01441947|9|10|arm_intervention_change|critical|[""/protocolSection/armsInterventionsModule/armGroups/0/description"",""/protocolSection/conditionsModule/keywords/2"",""/protocolSection/contactsLocationsModule/centralContacts"",""/protocolSection/contactsLocationsModule/locations/0/contacts"",""/protocolSection/contactsLocationsModule/locations/0/status"",""/protocolSection/contactsLocationsModule/locations/1/contacts"",""/protocolSection/contactsLocationsModule/locations/1/status"",""/protocolSection/contactsLocationsModule/locations/2/contacts"",""/protocolSection/contactsLocationsModule/locations/2/status"",""/protocolSection/contactsLocationsModule/locations/3/status"",""/protocolSection/descriptionModule/detailedDescription"",""/protocolSection/designModule/enrollmentInfo/count"",""/protocolSection/designModule/enrollmentInfo/type"",""/protocolSection/eligibilityModule/eligibilityCriteria"",""/protocolSection/outcomesModule/secondaryOutcomes/5/measure"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdatePostDateStruct/type"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/overallStatus"",""/protocolSection/statusModule/statusVerifiedDate""]|b5e15de5f5691d60ef1da728e6d62a0977d7b390f4e85b5b4b09b965feef75f2",critical,NCT01441947,9,10,2017-04-13,arm_intervention_change,evt_NCT01441947_v9_v10_9d5358cb53af,01e6865002075bbfe57cf79f8f57b7a728d56e501790c9b7bbcc6c7c2960b3ce,1
549,critical-002,"NCT03197935|37|38|primary_outcome_change|critical|[""/annotationSection"",""/protocolSection/outcomesModule/primaryOutcomes/0/description"",""/protocolSection/outcomesModule/primaryOutcomes/0/reviewUnit"",""/protocolSection/outcomesModule/primaryOutcomes/0/timeFrame"",""/protocolSection/outcomesModule/primaryOutcomes/1/description"",""/protocolSection/outcomesModule/primaryOutcomes/1/reviewUnit"",""/protocolSection/outcomesModule/primaryOutcomes/1/timeFrame"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/resultsFirstPostDateStruct"",""/protocolSection/statusModule/resultsFirstSubmitQcDate"",""/protocolSection/statusModule/statusVerifiedDate"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/0/description"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/0/reviewUnit"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/0/timeFrame"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/0/unitOfMeasure"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/1/description"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/1/reviewUnit"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/1/timeFrame"",""/resultsSection/outcomeMeasuresModule/outcomeMeasures/1/unitOfMeasure""]|2d198fdb792ab5b51bfdc247f39e71f42eaaeb1735ff3b3095f67c35ffd0076d",critical,NCT03197935,37,38,2021-05-07,primary_outcome_change,evt_NCT03197935_v37_v38_3d28b41dba94,1305debf2ea12b20319368ef7039990ca702be7fb114d36f8db3e4413852310d,2
526,critical-003,"NCT02755272|16|17|timeline_major_slip|critical|[""/protocolSection/statusModule/completionDateStruct/date"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/primaryCompletionDateStruct/date"",""/protocolSection/statusModule/statusVerifiedDate""]|cd4216e22d458a780870a7f520515fa36b1fdc92edfc0550b919e585433164d7",critical,NCT02755272,16,17,2024-06-03,timeline_major_slip,evt_NCT02755272_v16_v17_ec1f3828d39b,1e82b41ee6c93026359c29e119ce482365b13afd5f33a27b29f5b88ad454f95d,3
576,critical-004,"NCT04722718|2|3|primary_outcome_change|critical|[""/protocolSection/armsInterventionsModule/armGroups/0/description"",""/protocolSection/armsInterventionsModule/armGroups/0/interventionNames/0"",""/protocolSection/armsInterventionsModule/armGroups/0/label"",""/protocolSection/armsInterventionsModule/interventions/0/armGroupLabels/0"",""/protocolSection/armsInterventionsModule/interventions/0/description"",""/protocolSection/armsInterventionsModule/interventions/0/name"",""/protocolSection/descriptionModule/briefSummary"",""/protocolSection/descriptionModule/detailedDescription"",""/protocolSection/eligibilityModule/eligibilityCriteria"",""/protocolSection/identificationModule/officialTitle"",""/protocolSection/outcomesModule/primaryOutcomes/0/description"",""/protocolSection/outcomesModule/primaryOutcomes/0/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/4/measure"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/statusVerifiedDate""]|e7081120a63edae3e14b75b16b6fd1aaa17a984c4d9f16f4e1572d6f181b764b",critical,NCT04722718,2,3,2021-05-11,primary_outcome_change,evt_NCT04722718_v2_v3_c681348b2451,265014ab3ec0671fd6b373d1d508dcefb951149e1716e9a3cd36f3e54703bf4d,4
507,critical-005,"NCT01441947|15|16|timeline_major_slip|critical|[""/protocolSection/statusModule/completionDateStruct/date"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/statusVerifiedDate""]|8239baa9d882b1e5ccc2e948406e21317809a1a238b1851cae1a687d5d2c1ac8",critical,NCT01441947,15,16,2022-12-21,timeline_major_slip,evt_NCT01441947_v15_v16_51edd1fc761b,286116a77f76c4b37f640c0bfd825dfb0754a8c4f92cc97b66d871adaf3f5b5d,5
500,critical-006,"NCT01441947|7|8|arm_intervention_change|critical|[""/protocolSection/armsInterventionsModule/armGroups"",""/protocolSection/armsInterventionsModule/interventions/0/armGroupLabels"",""/protocolSection/armsInterventionsModule/interventions/0/description"",""/protocolSection/armsInterventionsModule/interventions/0/name"",""/protocolSection/armsInterventionsModule/interventions/1"",""/protocolSection/contactsLocationsModule/centralContacts"",""/protocolSection/contactsLocationsModule/locations/0/contacts"",""/protocolSection/contactsLocationsModule/locations/0/status"",""/protocolSection/contactsLocationsModule/locations/1/contacts"",""/protocolSection/contactsLocationsModule/locations/1/status"",""/protocolSection/contactsLocationsModule/locations/2/contacts"",""/protocolSection/contactsLocationsModule/locations/2/status"",""/protocolSection/contactsLocationsModule/locations/3/status"",""/protocolSection/contactsLocationsModule/overallOfficials/0/name"",""/protocolSection/sponsorCollaboratorsModule/responsibleParty/investigatorFullName"",""/protocolSection/statusModule/completionDateStruct/date"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/overallStatus"",""/protocolSection/statusModule/primaryCompletionDateStruct/date"",""/protocolSection/statusModule/statusVerifiedDate""]|05ac7cea2c5ecd007ebc117b0bcb7642148c3588f521e6b0bd82a4cbc4c65b2e",critical,NCT01441947,7,8,2014-11-10,arm_intervention_change,evt_NCT01441947_v7_v8_f7b4655e907f,4820563c583681d33118b7ad4840103d11d35271daef08afe67323b7eeafb9f4,6
508,critical-007,"NCT01441947|16|17|secondary_outcome_change|critical|[""/annotationSection"",""/protocolSection/outcomesModule/secondaryOutcomes/3"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/statusVerifiedDate""]|2ca25286ae763374d907fbbcc392f65a0bd03d745545c6c839fee04fc1eebb9a",critical,NCT01441947,16,17,2023-01-07,secondary_outcome_change,evt_NCT01441947_v16_v17_1493ccf4a7cd,517046db9b03b369c29d3c4fa0131011c9ff6cf9baa961ad82717a8761a627ef,7
537,critical-008,"NCT02942355|21|22|primary_outcome_change|critical|[""/protocolSection/conditionsModule/conditions/1"",""/protocolSection/outcomesModule/primaryOutcomes/0/description"",""/protocolSection/outcomesModule/primaryOutcomes/0/measure"",""/protocolSection/outcomesModule/primaryOutcomes/0/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/statusVerifiedDate""]|ec6dcde9019c671b3b0f08473fe84e8feb848c831410026200bf56de818b2caa",critical,NCT02942355,21,22,2024-04-18,primary_outcome_change,evt_NCT02942355_v21_v22_40c97508de10,53510d25cb4177c275049ead9dff51fc26a3f89fa38a29de57b188ebf60dc679,8
548,critical-009,"NCT03197935|36|37|primary_outcome_change|critical|[""/annotationSection"",""/documentSection"",""/hasResults"",""/protocolSection/armsInterventionsModule/armGroups/0/description"",""/protocolSection/armsInterventionsModule/armGroups/1/description"",""/protocolSection/armsInterventionsModule/interventions/0/description"",""/protocolSection/armsInterventionsModule/interventions/1/description"",""/protocolSection/armsInterventionsModule/interventions/2/description"",""/protocolSection/armsInterventionsModule/interventions/3/description"",""/protocolSection/armsInterventionsModule/interventions/4/description"",""/protocolSection/armsInterventionsModule/interventions/5/description"",""/protocolSection/armsInterventionsModule/interventions/6/description"",""/protocolSection/contactsLocationsModule/locations/2/facility"",""/protocolSection/designModule/enrollmentInfo/count"",""/protocolSection/designModule/enrollmentInfo/type"",""/protocolSection/outcomesModule/primaryOutcomes/0/description"",""/protocolSection/outcomesModule/primaryOutcomes/0/measure"",""/protocolSection/outcomesModule/primaryOutcomes/0/reviewUnit"",""/protocolSection/outcomesModule/primaryOutcomes/0/timeFrame"",""/protocolSection/outcomesModule/primaryOutcomes/1/description"",""/protocolSection/outcomesModule/primaryOutcomes/1/measure"",""/protocolSection/outcomesModule/primaryOutcomes/1/reviewUnit"",""/protocolSection/outcomesModule/primaryOutcomes/1/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/0/description"",""/protocolSection/outcomesModule/secondaryOutcomes/0/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/1/description"",""/protocolSection/outcomesModule/secondaryOutcomes/1/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/1/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/10"",""/protocolSection/outcomesModule/secondaryOutcomes/11"",""/protocolSection/outcomesModule/secondaryOutcomes/2/description"",""/protocolSection/outcomesModule/secondaryOutcomes/2/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/3/description"",""/protocolSection/outcomesModule/secondaryOutcomes/3/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/3/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/4/description"",""/protocolSection/outcomesModule/secondaryOutcomes/4/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/4/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/5/description"",""/protocolSection/outcomesModule/secondaryOutcomes/5/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/5/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/6/description"",""/protocolSection/outcomesModule/secondaryOutcomes/6/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/6/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/7/description"",""/protocolSection/outcomesModule/secondaryOutcomes/7/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/7/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/8/description"",""/protocolSection/outcomesModule/secondaryOutcomes/8/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/8/timeFrame"",""/protocolSection/outcomesModule/secondaryOutcomes/9/description"",""/protocolSection/outcomesModule/secondaryOutcomes/9/measure"",""/protocolSection/outcomesModule/secondaryOutcomes/9/timeFrame"",""/protocolSection/statusModule/lastUpdatePostDateStruct/date"",""/protocolSection/statusModule/lastUpdateSubmitDate"",""/protocolSection/statusModule/resultsFirstSubmitDate"",""/protocolSection/statusModule/statusVerifiedDate"",""/resultsSection""]|89979eeac80cbcd8ecc76469017aa16c7ed8672898b0a6ca5c82d544f4deb6bf",critical,NCT03197935,36,37,2021-03-29,primary_outcome_change,evt_NCT03197935_v36_v37_3647c0c32194,55fc43da97739e04afcc09d325b15d48ad65f8296ad9c8169df5169a532671f2,9
